fine_id	fine_name	coarse	frames	share_pct	instances
0	Enter	walking	58278	0.544	1020
1	Walk	walking	463659	4.331	6268
2	Make_coffee	cooking_food_prep	91261	0.853	68
3	Get_water	cooking_food_prep	12953	0.121	79
4	Make_coffee.Pour_water	cooking_food_prep	11689	0.109	81
5	Use_Drawer	object_interaction	173624	1.622	965
6	Make_coffee.Pour_grains	cooking_food_prep	9083	0.085	65
7	Use_telephone	using_phone	311282	2.908	482
8	Leave	walking	50523	0.472	923
9	Put_something_on_table	object_interaction	142381	1.330	5929
10	Take_something_off_table	object_interaction	120886	1.129	5957
11	Pour.From_kettle	cooking_food_prep	13864	0.130	129
12	Stir_coffee/tea	cooking_food_prep	5768	0.054	56
13	Drink.From_cup	drinking	210546	1.967	2542
14	Dump_in_trash	cleaning_housework	24133	0.225	292
15	Make_tea	cooking_food_prep	29050	0.271	27
16	Make_tea.Boil_water	cooking_food_prep	16212	0.151	58
17	Use_cupboard	object_interaction	113554	1.061	510
18	Insert_tea_bag	cooking_food_prep	14321	0.134	95
19	Read	reading	3616144	33.780	1670
20	Take_pills	taking_medication	60229	0.563	383
21	Use_fridge	object_interaction	43885	0.410	250
22	Clean_dishes	cleaning_housework	427297	3.992	471
23	Clean_dishes.Put_something_in_sink	cleaning_housework	9016	0.084	93
24	Eat_snack	eating	21327	0.199	351
25	Sit_down	sitting_down	77081	0.720	2141
26	Watch_TV	watching_tv	1022569	9.552	1471
27	Use_laptop	using_device	711848	6.650	488
28	Get_up	standing_up	71428	0.667	2147
29	Drink.From_bottle	drinking	34566	0.323	368
30	Pour.From_bottle	cooking_food_prep	26873	0.251	334
31	Drink.From_glass	drinking	4638	0.043	72
32	Lay_down	lying_down	16893	0.158	214
33	Drink.From_can	drinking	28340	0.265	355
34	Write	reading	741595	6.928	489
35	Breakfast	eating	357654	3.341	54
36	Breakfast.Spread_jam_or_butter	cooking_food_prep	25503	0.238	102
37	Breakfast.Cut_bread	cooking_food_prep	53915	0.504	269
38	Breakfast.Eat_at_table	eating	75044	0.701	858
39	Breakfast.Take_ham	cooking_food_prep	6899	0.064	22
40	Clean_dishes.Dry_up	cleaning_housework	132807	1.241	462
41	Wipe_table	cleaning_housework	42455	0.397	212
42	Cook	cooking_food_prep	247113	2.308	129
43	Cook.Cut	cooking_food_prep	180184	1.683	234
44	Cook.Use_stove	cooking_food_prep	13373	0.125	205
45	Cook.Stir	cooking_food_prep	122077	1.140	774
46	Cook.Use_oven	cooking_food_prep	56604	0.529	322
47	Clean_dishes.Clean_with_water	cleaning_housework	31638	0.296	125
48	Use_tablet	using_device	558816	5.220	265
49	Use_glasses	personal_hygiene	9360	0.087	345
50	Pour.From_can	cooking_food_prep	4815	0.045	67
